home_team,away_team,home_points,away_points
Crown College,Westminster,25.0,17.0
Nichols,Gallaudet,55.0,28.0
Pennsylvania,Dartmouth,20.0,23.0
Monmouth,Lehigh,49.0,7.0
Stonehill,St Francis (PA),10.0,15.0
Sacred Heart,Merrimack,7.0,17.0
Marist,Stetson,34.0,24.0
Southern Virginia,LaGrange College,52.0,26.0
Hampden-Sydney,Bridgewater (VA),38.0,39.0
Wesleyan,Hamilton,35.0,14.0
Ohio Wesleyan,Wabash College,13.0,31.0
Kentucky State,Albany State (GA),27.0,33.0
Kenyon,Hiram,40.0,16.0
Albion,Kalamazoo,44.0,17.0
Moravian,Keystone,58.0,34.0
Susquehanna,Catholic University,50.0,21.0
Huntingdon,Methodist,52.0,7.0
Trinity (CT),Amherst College,49.0,0.0
Middlebury,Bowdoin,34.0,27.0
McDaniel College,Gettysburg,20.0,27.0
Ithaca,Hobart,24.0,14.0
Union,St Lawrence,34.0,0.0
Rowan,Johns Hopkins,20.0,55.0
Central State,Miles,7.0,40.0
Lincoln (PA),Winston-Salem,30.0,27.0
Minnesota St-Moorhead,Northern State,45.0,26.0
Minnesota-Duluth,Winona State,38.0,14.0
Concordia-St. Paul,University of Mary,37.0,34.0
WV Wesleyan,West Virginia State,16.0,51.0
Glenville State,Charleston (WV),17.0,52.0
Frostburg State,Notre Dame College,21.0,24.0
Concord,West Liberty,21.0,23.0
Berry College,Trinity (TX),37.0,46.0
Utica,Hartwick,48.0,7.0
Hillsdale,Northwood (MI),40.0,18.0
Ohio Dominican,Ashland,6.0,20.0
Ouachita Baptist,Southeastern Oklahoma,34.0,7.0
Greenville,Minnesota-Morris,10.0,24.0
Guilford,Randolph-Macon,14.0,70.0
Morrisville State,SUNY Cortland,15.0,52.0
Michigan Tech,Davenport,0.0,28.0
Elizabeth City State,Johnson C Smith,20.0,21.0
Rhode Island,Bryant,49.0,26.0
Samford,East Tennessee State,42.0,28.0
Butler,Presbyterian College,27.0,17.0
Dayton,St. Thomas (MN),14.0,20.0
Central Michigan,Eastern Michigan,26.0,23.0
Franklin,Bluffton,31.0,24.0
Hanover,Defiance,21.0,27.0
Capital,Otterbein,35.0,31.0
Tufts,Williams,28.0,10.0
John Carroll,Wilmington (OH),59.0,7.0
Mount St. Joseph,Manchester,69.0,14.0
Muskingum,Heidelberg,17.0,20.0
Coast Guard,MIT,36.0,14.0
Macalester,St. Scholastica,17.0,23.0
McKendree,Truman State,24.0,56.0
Grinnell,Lawrence,34.0,16.0
Baldwin-Wallace,Marietta,21.0,42.0
Mount Union,Ohio Northern,35.0,0.0
Sioux Falls,Augustana (SD),29.0,49.0
Tusculum,Barton College,14.0,17.0
Clark Atlanta,Lane,24.0,34.0
Augustana (IL),Carroll (WI),23.0,19.0
Millikin,Illinois Wesleyan,17.0,45.0
Minot State,Wayne State (NE),22.0,48.0
Colorado Mines,Chadron State,35.0,7.0
Fort Lewis,Colorado State-Pueblo,7.0,85.0
Edinboro,Mercyhurst,40.0,24.0
Buena Vista,Simpson College,28.0,55.0
Central,Dubuque,55.0,16.0
Nebraska Wesleyan University,Luther,35.0,10.0
Hardin-Simmons,Howard Payne,40.0,33.0
McMurry,Lyon College,52.0,14.0
Carthage,Elmhurst,27.0,20.0
Washington (MO),North Park,41.0,7.0
Beloit College,Chicago,7.0,48.0
Illinois College,Monmouth (IL),20.0,17.0
Denison,Wittenberg,24.0,27.0
Wartburg,Coe,27.0,21.0
Lenoir-Rhyne,UVA-Wise,56.0,3.0
Fairmont State,Alderson-Broaddus,0.0,0.0
Ripon,Cornell College (IA),33.0,36.0
Ferrum,Shenandoah,3.0,38.0
Grove City College,Washington & Jefferson,31.0,24.0
Hendrix College,Sewanee Univ. of the South,19.0,20.0
UW-River Falls,Wisconsin-Platteville,27.0,16.0
Georgetown,Fordham,28.0,24.0
Lindenwood,Austin Peay,10.0,52.0
Cornell,Colgate,25.0,35.0
North Dakota State,South Dakota,19.0,24.0
Northern Iowa,Youngstown State,44.0,41.0
Elon,William & Mary,14.0,6.0
Morehead State,Drake,9.0,16.0
The Citadel,Western Carolina,14.0,49.0
Central Missouri State,Northwest Missouri State,41.0,38.0
Concordia (MN),Carleton,35.0,36.0
West Chester,Bloomsburg,24.0,21.0
Norfolk State,North Carolina A&T,26.0,28.0
Aurora,Eureka College,70.0,10.0
Wisconsin Lutheran,Rockford,52.0,20.0
Quincy,Southwest Baptist,38.0,33.0
Christopher Newport,Salisbury,24.0,14.0
Martin Luther College,Northwestern (MN),38.0,42.0
Wisconsin-Stevens Point,Wisconsin-Eau Claire,17.0,24.0
Valparaiso,Southwest Minnesota State,16.0,15.0
Greensboro,Brevard College,24.0,34.0
Rose-Hulman,Anderson (IN),64.0,3.0
Boston College,Virginia,27.0,24.0
Alma College,Trine,70.0,30.0
Richmond,Hampton,14.0,31.0
Lakeland University,St. Norbert,21.0,24.0
Bethel (MN),Gustavus Adolphus,37.0,28.0
Augsburg,St. Johns (MN),24.0,27.0
Wheaton College (Ill),North Central,35.0,54.0
Hamline,St. Olaf College,25.0,49.0
UW-Oshkosh,UW-Whitewater,21.0,37.0
Bethany (WV),Case Western Reserve,12.0,34.0
Kent State,Miami (OH),3.0,23.0
Hilbert College,Endicott College,0.0,66.0
Texas Southern,Lincoln University (CA),52.0,7.0
Alabama A&M,Tuskegee,58.0,3.0
Ferris State,Northern Michigan,78.0,3.0
Northern Colorado,Weber State,21.0,28.0
South Dakota State,North Dakota,42.0,21.0
New Hampshire,Towson,51.0,54.0
Adrian,Hope,21.0,30.0
Thiel College,Waynesburg,15.0,14.0
New Mexico Highlands,Adams State,14.0,21.0
Bemidji State,Minnesota State,24.0,27.0
Western State,Colorado Mesa,43.0,7.0
University of New England,Castleton State College,31.0,14.0
Knox College,Lake Forest,0.0,50.0
Wisconsin-La Crosse,UW-Stout,45.0,40.0
Rhodes,Southwestern University,31.0,7.0
Arkansas-Monticello,East Central,28.0,35.0
Northeastern State,Pittsburg State,7.0,42.0
Nebraska-Kearney,Washburn,27.0,21.0
Central Oklahoma,Missouri Southern State,30.0,27.0
Southern Nazarene,Southern Arkansas,21.0,28.0
California,Arizona State,24.0,21.0
Concordia (IL),Concordia (WI),42.0,57.0
Maine,Stony Brook,56.0,28.0
Albany,Villanova,31.0,10.0
Purdue,Illinois,44.0,19.0
Marshall,Old Dominion,41.0,35.0
Rutgers,Wagner,52.0,3.0
Toledo,Northern Illinois,35.0,33.0
Western Michigan,Ball State,42.0,24.0
Lafayette,Bucknell,56.0,22.0
Auburn,Georgia,20.0,27.0
Texas Tech,Houston,49.0,28.0
Texas,Kansas,40.0,14.0
Nebraska,Michigan,7.0,45.0
Georgia Tech,Bowling Green,27.0,38.0
Navy,South Florida,30.0,44.0
Maryland,Indiana,44.0,17.0
UMass,Arkansas State,28.0,52.0
UCF,Baylor,35.0,36.0
Eastern Washington,Idaho,36.0,44.0
North Carolina Central,Campbell,49.0,48.0
Memphis,Boise State,35.0,32.0
Seton Hill College,Gannon,6.0,23.0
Vanderbilt,Missouri,21.0,38.0
Montana State,Portland State,38.0,22.0
Montana,Idaho State,28.0,20.0
Southeastern Louisiana,Tarleton State,13.0,14.0
Mercer,VMI,38.0,3.0
Findlay,Kentucky Wesleyan,27.0,21.0
UNLV,Hawai'i,44.0,20.0
Livingstone,Bowie State,31.0,18.0
Wyoming,New Mexico,35.0,26.0
La Verne,Redlands,7.0,24.0
Whitworth,Pacific Lutheran,42.0,13.0
Pacific (OR),Puget Sound,28.0,14.0
Claremont,Pomona-Pitzer,30.0,20.0
Linfield,Willamette,70.0,14.0
Birmingham-Southern,Millsaps,8.0,14.0
Western Connecticut State,UMass Dartmouth,52.0,21.0
Averett,Washington & Lee,20.0,25.0
West Alabama,Delta State,17.0,47.0
Missouri Western,Emporia State,34.0,31.0
William Jewell College,Upper Iowa,30.0,13.0
Arkansas-Pine Bluff,Southern,0.0,27.0
Buffalo State,Rochester,22.0,29.0
Holy Cross,Harvard,28.0,38.0
Southern Illinois,Missouri State,33.0,20.0
Bates College,Colby,24.0,30.0
Savannah State,Edward Waters,25.0,26.0
Wofford,Chattanooga,13.0,23.0
Alabama State,Alcorn State,20.0,23.0
Charleston Southern,Kennesaw State,13.0,10.0
Saginaw Valley,Grand Valley State,14.0,55.0
Newberry,Carson-Newman,21.0,34.0
Wayne State (MI),Concordia College (MI),23.0,24.0
Lake Erie College,Walsh,16.0,30.0
Slippery Rock,Indiana (PA),42.0,21.0
Wingate,Erskine,45.0,0.0
Catawba,Emory & Henry,30.0,13.0
St. John Fisher,Brockport State (NY),18.0,35.0
Montclair State,College of New Jersey,42.0,7.0
Benedict College,Morehouse,27.0,3.0
Ole Miss,LSU,55.0,49.0
Stanford,Oregon,6.0,42.0
Allen,Fort Valley State,21.0,49.0
Colorado State,Utah Tech,41.0,20.0
Southern Mississippi,Texas State,36.0,50.0
Geneva College,St. Vincent,19.0,28.0
North Greenville,West Florida,24.0,48.0
Harding,Southwestern Oklahoma,64.0,0.0
Eastern New Mexico,Angelo State,14.0,23.0
George Fox University,Lewis & Clark,31.0,37.0
Allegheny,Carnegie Mellon,3.0,19.0
East Texas Baptist,Austin College,35.0,7.0
Sul Ross State,Texas Lutheran,37.0,34.0
Northwestern State,Eastern Illinois,10.0,19.0
Oklahoma,Iowa State,50.0,20.0
Georgia Southern,Coastal Carolina,38.0,28.0
Thomas More,Tiffin,9.0,47.0
Mississippi Valley State,Florida A&M,7.0,31.0
Arkansas Tech,Northwestern Oklahoma State,44.0,21.0
Missouri S&T,Indianapolis,13.0,26.0
Georgia State,Troy,7.0,28.0
Rice,East Carolina,24.0,17.0
University of Texas of the Permian Basin,Texas A&M-Kingsville,29.0,17.0
UT Martin,Tennessee State,20.0,10.0
Stephen F. Austin,Texas A&M-Commerce,56.0,27.0
Prairie View,Grambling,20.0,35.0
Houston Christian,Lamar,19.0,21.0
North Texas,Abilene Christian,45.0,31.0
North Alabama,Eastern Kentucky,22.0,32.0
Murray State,Indiana State,30.0,28.0
SMU,Charlotte,34.0,16.0
Iowa,Michigan State,26.0,16.0
Tennessee,South Carolina,41.0,20.0
Duke,Notre Dame,14.0,21.0
Fort Hays State,Lincoln (MO),71.0,3.0
Oklahoma Baptist,Henderson State,14.0,27.0
Air Force,San Diego State,49.0,10.0
Louisiana Monroe,Appalachian State,40.0,41.0
Southern Utah,Central Arkansas,27.0,29.0
Cal Poly,UC Davis,13.0,31.0
McNeese,Nicholls,10.0,31.0
Black Hills State,South Dakota Mines,14.0,49.0
Western New Mexico,Central Washington,17.0,55.0
West Texas A&M,Western Oregon,36.0,37.0
Virginia Tech,Pittsburgh,38.0,21.0
TCU,West Virginia,21.0,24.0
Sacramento State,Northern Arizona,31.0,30.0
Mississippi State,Alabama,17.0,40.0
Cal Lutheran,Chapman,24.0,21.0
Arizona,Washington,24.0,31.0
Fresno State,Nevada,27.0,9.0
Middle Tennessee,Jacksonville State,30.0,45.0
New Mexico State,Florida International,34.0,17.0
Liberty,Sam Houston State,21.0,16.0
Fairmont State,Concord,42.0,9.0
Louisiana Tech,Western Kentucky,28.0,35.0
Worcester State College,Bridgewater State,7.0,35.0
Johns Hopkins,Gettysburg,49.0,28.0
Harvard,Cornell,41.0,23.0
Oklahoma State,Kansas State,29.0,21.0
Illinois,Nebraska,7.0,20.0
Fitchburg State,Framingham State,7.0,40.0
Virginia,William & Mary,27.0,13.0
UMass,Toledo,24.0,41.0
Wisconsin,Rutgers,24.0,13.0
Missouri,LSU,39.0,49.0
Army,Boston College,24.0,27.0
Limestone,Lenoir-Rhyne,28.0,31.0
Rensselaer,Ithaca,17.0,20.0
Gannon,Edinboro,23.0,12.0
MIT,Springfield,10.0,38.0
King's College (PA),FDU-Florham,17.0,14.0
Southwestern University,Berry College,10.0,52.0
Notre Dame College,West Virginia State,31.0,24.0
Assumption,American International,38.0,14.0
Salve Regina,Coast Guard,38.0,7.0
Alfred State College,Lyon College,41.0,15.0
Gallaudet,Hilbert College,34.0,20.0
Lycoming,Wilkes,35.0,48.0
Albright,Stevenson,0.0,38.0
Misericordia,Eastern University,25.0,8.0
Pace,Post University,38.0,7.0
Texas,Oklahoma,30.0,34.0
Tiffin,Hillsdale,35.0,21.0
Bluffton,Hanover,0.0,21.0
Belhaven College,Huntingdon,29.0,3.0
Ohio State,Maryland,37.0,17.0
Trinity (TX),Centre,31.0,3.0
Mississippi State,Western Michigan,41.0,28.0
Long Island University,Sacred Heart,23.0,13.0
Brown,Rhode Island,30.0,34.0
Catholic University,Moravian,28.0,36.0
Curry,Dean College,47.0,14.0
Columbia,Marist,16.0,0.0
Central Connecticut,Delaware State,51.0,44.0
Ferris State,Saginaw Valley,38.0,17.0
Chowan,North Greenville,16.0,31.0
Wayne State (MI),Michigan Tech,23.0,21.0
Shaw,Johnson C Smith,21.0,10.0
Dickinson,Christopher Newport,27.0,24.0
Western New England,Anna Maria College,33.0,17.0
Northwood (MI),Findlay,33.0,30.0
Kean,Montclair State,14.0,27.0
Alvernia University,Delaware Valley,12.0,28.0
Carson-Newman,Tusculum,21.0,27.0
Alderson-Broaddus,Charleston (WV),0.0,0.0
Lock Haven,Shepherd,10.0,27.0
Frostburg State,UNC Pembroke,31.0,21.0
Merrimack,Stonehill,45.0,34.0
Bucknell,Holy Cross,27.0,55.0
Pennsylvania,Georgetown,42.0,39.0
Princeton,Lafayette,9.0,12.0
Fordham,Lehigh,38.0,35.0
Morehead State,Dayton,31.0,7.0
LaGrange College,NC Wesleyan,14.0,35.0
Westminster PA,Bethany (WV),42.0,7.0
Hampden-Sydney,Ferrum,48.0,10.0
Hamilton,Trinity (CT),21.0,34.0
Bates College,Amherst College,7.0,17.0
Wittenberg,Hiram,21.0,7.0
Salisbury,William Paterson,36.0,19.0
Hope,Albion,14.0,6.0
Widener,Lebanon Valley,24.0,27.0
Keystone,Susquehanna,0.0,69.0
Brevard College,Southern Virginia,49.0,28.0
Maryville TN,Greensboro,35.0,7.0
Westminster,Martin Luther College,28.0,14.0
Norwich,Merchant Marine,21.0,28.0
Hobart,Buffalo State,45.0,21.0
Rochester,Union,17.0,21.0
St. Anselm,Bentley,24.0,17.0
Wheeling Jesuit,WV Wesleyan,58.0,3.0
West Liberty,Glenville State,48.0,40.0
Concordia-St. Paul,Sioux Falls,28.0,35.0
Randolph-Macon,Averett,59.0,7.0
St. Vincent,Case Western Reserve,0.0,19.0
St. Thomas (MN),Butler,17.0,10.0
New Haven,Lincoln University (CA),38.0,0.0
Elizabeth City State,Virginia Union,20.0,42.0
Winston-Salem,Livingstone,21.0,23.0
Ohio Dominican,Lake Erie College,41.0,17.0
St. Augustine's,Fayetteville State,0.0,7.0
Miles,Benedict College,24.0,27.0
SUNY Cortland,Utica,56.0,3.0
Presbyterian College,Stetson,24.0,28.0
Shippensburg,West Chester,28.0,38.0
Colby,Wesleyan,20.0,13.0
Franklin & Marshall,Ursinus,20.0,16.0
Brockport State (NY),Hartwick,63.0,0.0
Franklin Pierce,Southern Connecticut State,17.0,14.0
DePauw,Denison,17.0,6.0
Trine,Adrian,34.0,14.0
Anderson (IN),Franklin,28.0,36.0
Dartmouth,Yale,24.0,31.0
Heidelberg,Mount Union,3.0,41.0
Marietta,John Carroll,28.0,31.0
Manchester,Rose-Hulman,7.0,44.0
Defiance,Mount St. Joseph,21.0,62.0
Wofford,Samford,10.0,31.0
North Dakota,Western Illinois,49.0,10.0
Hampton,Campbell,27.0,30.0
Augustana (IL),Millikin,42.0,3.0
Elon,North Carolina Central,23.0,34.0
Kalamazoo,Olivet College,14.0,42.0
Indiana (PA),California (PA),20.0,30.0
South Carolina State,Virginia Lynchburg,56.0,6.0
Drake,Valparaiso,20.0,14.0
Augustana (SD),Southwest Minnesota State,38.0,6.0
Lindenwood,Tennessee Tech,23.0,0.0
Furman,The Citadel,28.0,14.0
Williams,Middlebury,10.0,12.0
Wisconsin-Platteville,Wisconsin-Stevens Point,51.0,10.0
Clarion,Seton Hill College,17.0,24.0
Wayne State (NE),Minnesota-Duluth,28.0,18.0
Bowie State,Virginia State,16.0,44.0
Southwest Baptist,McKendree,24.0,17.0
UVA-Wise,Emory & Henry,24.0,41.0
St. Norbert,Rockford,58.0,6.0
Temple,UT San Antonio,34.0,49.0
Davenport,Northern Michigan,28.0,12.0
Texas Lutheran,Mary Hardin-Baylor,21.0,55.0
Alfred,Morrisville State,14.0,10.0
Truman State,Quincy,33.0,27.0
Carleton,St. Olaf College,33.0,31.0
Concordia (IL),Aurora,0.0,91.0
Austin College,Sul Ross State,7.0,49.0
Chicago,Illinois College,20.0,41.0
Wabash College,Wooster,45.0,35.0
Mercyhurst,Slippery Rock,31.0,75.0
Muhlenberg,McDaniel College,50.0,6.0
Chadron State,Fort Lewis,57.0,20.0
Black Hills State,New Mexico Highlands,34.0,24.0
Central Missouri State,Nebraska-Kearney,38.0,14.0
Howard Payne,East Texas Baptist,28.0,14.0
Carthage,North Park,20.0,35.0
Bloomsburg,Kutztown,3.0,24.0
Valdosta State,Delta State,25.0,49.0
Illinois Wesleyan,Washington (MO),10.0,38.0
NC State,Marshall,48.0,41.0
South Dakota Mines,Western State,20.0,43.0
Buffalo,Central Michigan,37.0,13.0
UW-Whitewater,Wisconsin-La Crosse,34.0,37.0
Wisconsin Lutheran,Lakeland University,34.0,14.0
Concordia (WI),Benedictine (IL),28.0,0.0
Knox College,Ripon,3.0,10.0
Coe,Buena Vista,52.0,7.0
Loras College,Central,14.0,38.0
Dubuque,Nebraska Wesleyan University,56.0,28.0
Luther,Wartburg,0.0,54.0
St. Scholastica,Gustavus Adolphus,12.0,63.0
St. Johns (MN),Concordia (MN),42.0,23.0
Edward Waters,Lane,37.0,30.0
Ohio Wesleyan,Kenyon,48.0,7.0
Hamline,Augsburg,7.0,41.0
Washington & Jefferson,Allegheny,35.0,28.0
Wisconsin-Eau Claire,UW-River Falls,7.0,49.0
Mars Hill,Erskine,38.0,3.0
Worcester Polytechnic,SUNY Maritime,21.0,28.0
Northwest Missouri State,Central Oklahoma,34.0,21.0
Missouri State,North Dakota State,10.0,38.0
Delaware,Duquesne,43.0,17.0
South Dakota,Murray State,38.0,7.0
Eastern Illinois,UT Martin,27.0,28.0
Kennesaw State,Tennessee State,20.0,27.0
College of New Jersey,Rowan,7.0,9.0
Northwestern (MN),Crown College,47.0,23.0
Cornell College (IA),Beloit College,36.0,24.0
East Central,Ouachita Baptist,14.0,31.0
Bluefield,Lincoln (PA),44.0,52.0
Missouri Southern State,Fort Hays State,22.0,35.0
Lincoln (MO),Northeastern State,13.0,28.0
Monmouth (IL),Grinnell,69.0,6.0
Pittsburg State,Emporia State,33.0,25.0
Minnesota State,Minnesota St-Moorhead,24.0,21.0
University of Mary,Winona State,7.0,17.0
Northwestern,Howard,23.0,20.0
UCLA,Washington State,25.0,17.0
Southeastern Oklahoma,Arkansas-Monticello,22.0,21.0
UW-Stout,UW-Oshkosh,46.0,48.0
Henderson State,Southern Nazarene,42.0,28.0
Colorado Mesa,Colorado Mines,0.0,52.0
Lake Forest,Lawrence,76.0,0.0
Sewanee Univ. of the South,Birmingham-Southern,32.0,38.0
Geneva College,Grove City College,21.0,48.0
Alabama State,Bethune-Cookman,19.0,14.0
East Tennessee State,Mercer,6.0,24.0
Richmond,Maine,42.0,31.0
Alcorn State,Grambling,25.0,24.0
Clemson,Wake Forest,17.0,12.0
Texas A&M,Alabama,20.0,26.0
Louisiana,Texas State,34.0,30.0
Miami (OH),Bowling Green,27.0,0.0
Ohio,Kent State,42.0,17.0
Akron,Northern Illinois,14.0,55.0
Navy,North Texas,27.0,24.0
Eastern Michigan,Ball State,24.0,10.0
Florida State,Virginia Tech,39.0,17.0
Northern State,Minot State,46.0,9.0
Iowa,Purdue,20.0,14.0
Southern Arkansas,Oklahoma Baptist,63.0,24.0
North Carolina,Syracuse,40.0,7.0
Lewis & Clark,Linfield,15.0,57.0
Troy,Arkansas State,37.0,3.0
Pacific Lutheran,Pacific (OR),17.0,10.0
Western Connecticut State,Plymouth State,55.0,20.0
West Florida,Shorter,42.0,3.0
Willamette,Whitworth,7.0,59.0
Washington & Lee,Guilford,48.0,25.0
Puget Sound,George Fox University,29.0,27.0
Barton College,Newberry,34.0,17.0
UAB,South Florida,56.0,35.0
Kansas,UCF,51.0,22.0
UMass Dartmouth,Mass Maritime,26.0,0.0
Albany State (GA),Central State,48.0,0.0
Colorado State-Pueblo,Adams State,43.0,10.0
North Carolina A&T,Villanova,14.0,37.0
Towson,Albany,17.0,24.0
Washburn,Missouri Western,21.0,61.0
Nicholls,Houston Christian,38.0,7.0
Alabama A&M,Jackson State,30.0,45.0
Gardner-Webb,Robert Morris,31.0,16.0
Chattanooga,Western Carolina,50.0,52.0
Lamar,Northwestern State,27.0,13.0
Florida,Vanderbilt,38.0,14.0
Millsaps,Rhodes,7.0,37.0
Western Oregon,Western New Mexico,31.0,10.0
Northwestern Oklahoma State,Harding,0.0,62.0
Rice,Connecticut,31.0,38.0
Incarnate Word,Southeastern Louisiana,33.0,26.0
Central Arkansas,Southeast Missouri State,38.0,33.0
Catawba,Wingate,13.0,31.0
Youngstown State,Southern Illinois,31.0,3.0
West Georgia,West Alabama,24.0,6.0
Allen,Clark Atlanta,35.0,27.0
Florida Atlantic,Tulsa,20.0,17.0
Fort Valley State,Savannah State,38.0,24.0
Indianapolis,William Jewell College,59.0,17.0
East Stroudsburg,Millersville,38.0,17.0
Arizona State,Colorado,24.0,27.0
Southwestern Oklahoma,Arkansas Tech,7.0,9.0
Bowdoin,Tufts,10.0,24.0
Carnegie Mellon,Thiel College,80.0,22.0
Elmhurst,Wheaton College (Ill),6.0,61.0
Ashland,Walsh,21.0,7.0
McMurry,Hardin-Simmons,16.0,19.0
North Central,Carroll (WI),69.0,24.0
Missouri S&T,Upper Iowa,31.0,6.0
Southern Mississippi,Old Dominion,13.0,17.0
Georgia,Kentucky,51.0,13.0
Louisiana Monroe,South Alabama,7.0,55.0
Kentucky Wesleyan,Thomas More,28.0,36.0
Shenandoah,Bridgewater (VA),10.0,24.0
Grand Valley State,Kentucky State,65.0,7.0
Illinois State,South Dakota State,21.0,40.0
Southern,Florida A&M,19.0,26.0
UC Davis,Montana,23.0,31.0
Indiana State,Northern Iowa,20.0,27.0
Prairie View,Mississippi Valley State,31.0,12.0
Tarleton State,Southern Utah,26.0,27.0
Minnesota,Michigan,10.0,52.0
Ole Miss,Arkansas,27.0,20.0
Louisville,Notre Dame,33.0,20.0
Wyoming,Fresno State,24.0,19.0
Utah State,Colorado State,44.0,24.0
Boise State,San José State,35.0,27.0
Iowa State,TCU,27.0,14.0
Baylor,Texas Tech,14.0,39.0
Miami,Georgia Tech,20.0,23.0
Macalester,Bethel (MN),14.0,49.0
Tuskegee,Morehouse,40.0,28.0
Texas A&M-Kingsville,West Texas A&M,28.0,21.0
Cal Poly,Idaho,14.0,42.0
Weber State,Northern Arizona,10.0,27.0
Texas A&M-Commerce,McNeese,41.0,10.0
Midwestern State,University of Texas of the Permian Basin,13.0,21.0
Utah Tech,Stephen F. Austin,37.0,31.0
Central Washington,Eastern New Mexico,38.0,35.0
California,Oregon State,40.0,52.0
Redlands,Pomona-Pitzer,9.0,10.0
Chapman,Claremont,20.0,7.0
Cal Lutheran,La Verne,55.0,0.0
USC,Arizona,43.0,41.0
Middle Tennessee,Louisiana Tech,31.0,23.0
Appalachian State,Coastal Carolina,24.0,27.0
Jacksonville State,Liberty,13.0,31.0
Florida International,UTEP,14.0,27.0
New Mexico State,Sam Houston State,27.0,13.0
Houston,West Virginia,41.0,39.0
Mass Maritime,Worcester State College,22.0,19.0
St Francis (PA),Wagner,31.0,7.0
Benedict College,Fort Valley State,48.0,6.0
East Carolina,SMU,10.0,31.0
Memphis,Tulane,21.0,31.0
Utah State,Fresno State,32.0,37.0
Colorado,Stanford,43.0,46.0
Rutgers,Michigan State,27.0,24.0
Shorter,Clark Atlanta,19.0,13.0
Clarion,Mercyhurst,35.0,36.0
Utica,Morrisville State,24.0,6.0
Cincinnati,Iowa State,10.0,30.0
Duquesne,Central Connecticut,44.0,20.0
Walsh,Ohio Dominican,10.0,12.0
Gannon,Slippery Rock,24.0,49.0
UNC Pembroke,Fairmont State,49.0,7.0
Wilkes,Keystone,42.0,7.0
Plymouth State,Fitchburg State,40.0,21.0
North Texas,Temple,45.0,14.0
Michigan,Indiana,52.0,7.0
Framingham State,Western Connecticut State,34.0,56.0
Vanderbilt,Georgia,20.0,37.0
FDU-Florham,Delaware Valley,0.0,20.0
Charleston (WV),Notre Dame College,52.0,27.0
Eastern Michigan,Kent State,28.0,14.0
Gettysburg,Muhlenberg,13.0,41.0
Findlay,Thomas More,38.0,10.0
Kutztown,Shippensburg,9.0,6.0
West Chester,East Stroudsburg,14.0,28.0
Merchant Marine,MIT,28.0,14.0
Castleton State College,Gallaudet,23.0,24.0
Lebanon Valley,King's College (PA),21.0,35.0
Endicott College,Western New England,24.0,21.0
Alfred State College,Anna Maria College,46.0,20.0
Alabama,Arkansas,24.0,21.0
Yale,Sacred Heart,31.0,3.0
Lehigh,Georgetown,7.0,17.0
Marist,San Diego,30.0,16.0
Brown,Princeton,28.0,27.0
James Madison,Georgia Southern,41.0,13.0
Florida State,Syracuse,41.0,3.0
Purdue,Ohio State,7.0,41.0
Minnesota St-Moorhead,Sioux Falls,53.0,40.0
Rhode Island,Richmond,17.0,24.0
New Hampshire,Albany,38.0,31.0
Monmouth,Hampton,61.0,10.0
Johnson C Smith,St. Augustine's,14.0,6.0
Lincoln (PA),Elizabeth City State,27.0,21.0
Dayton,Presbyterian College,17.0,20.0
Drake,St. Thomas (MN),52.0,21.0
Samford,Furman,21.0,27.0
Concord,Frostburg State,3.0,34.0
Villanova,Elon,21.0,0.0
The Citadel,VMI,13.0,17.0
Central State,Savannah State,21.0,10.0
University of New England,Nichols,62.0,26.0
Harvard,Howard,48.0,7.0
Thiel College,Geneva College,9.0,20.0
Waynesburg,St. Vincent,24.0,0.0
Kalamazoo,Adrian,45.0,23.0
Hillsdale,Kentucky Wesleyan,44.0,14.0
Northwood (MI),Ashland,3.0,35.0
Martin Luther College,Greenville,31.0,29.0
Minnesota-Duluth,University of Mary,46.0,0.0
Juniata,Susquehanna,0.0,56.0
Shaw,Winston-Salem,20.0,41.0
Truman State,Indianapolis,17.0,38.0
Catholic University,Lycoming,25.0,28.0
Trine,Olivet College,28.0,14.0
Methodist,Brevard College,20.0,52.0
St Lawrence,Rochester,27.0,37.0
Rensselaer,Buffalo State,51.0,28.0
SUNY Cortland,Alfred,59.0,21.0
Wayne State (NE),Bemidji State,23.0,33.0
Maine,Long Island University,24.0,13.0
Cornell,Bucknell,13.0,21.0
Colgate,Dartmouth,27.0,24.0
Butler,Davidson,33.0,35.0
Hobart,Hilbert College,49.0,3.0
Ithaca,Union,17.0,9.0
Ursinus,William Paterson,39.0,15.0
Franklin & Marshall,Johns Hopkins,27.0,34.0
Centre,Southwestern University,45.0,21.0
Bethany (WV),Carnegie Mellon,7.0,41.0
LaGrange College,Belhaven College,20.0,42.0
Guilford,Shenandoah,20.0,31.0
Hiram,Ohio Wesleyan,18.0,19.0
Montclair State,Salisbury,12.0,31.0
Husson,Curry,28.0,7.0
Emory & Henry,Mars Hill,14.0,24.0
Kean,College of New Jersey,0.0,27.0
Minnesota-Morris,Westminster,45.0,0.0
Alvernia University,Stevenson,6.0,42.0
Virginia Union,Bowie State,52.0,3.0
West Virginia State,Alderson-Broaddus,0.0,0.0
Trinity (CT),Middlebury,15.0,20.0
McDaniel College,Dickinson,20.0,40.0
St. Xavier (IL),Saginaw Valley,10.0,32.0
Widener,Misericordia,31.0,27.0
New Haven,St. Anselm,9.0,13.0
WV Wesleyan,West Liberty,7.0,24.0
